Post ID,Page ID,Page name,Title,Description,Duration (sec),Publish time,Caption type,Permalink,Is crosspost,Is share,Post type,Languages,Custom labels,Funded content status,Data comment,Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,Total clicks,Other Clicks,Matched Audience Targeting Consumption (Photo Click),Link Clicks,Negative feedback from users: Hide all,Seconds viewed,Average Seconds viewed,Estimated earnings (USD),Ad CPM (USD),Ad impressions,Negative feedback from users: Hide
122153956958654483,61569634500241,Juan365 Live Stream,"Celebrating all the winners today! 🎉
Keep the fun alive, play with heart, and stay responsible! 💖🎮

#juanababes #Juan365livestream #Juan365PH
#AllInJuanSaSaya #JuanKada #Juan365 #TheResponsibleJuan",,0,12/09/2025 07:00,,https://www.facebook.com/juan365livestream/posts/pfbid0hoprfHxa2LwGx9Mxnskq5FpSXEH8zCZDvSNQ2wBNWYxkSttoNSX7J6p9N96ApPBzl,0,0,Photos,,,,,Lifetime,1447.0,743.0,86.0,66.0,14.0,6.0,80,52.0,28.0,,,,,,,,
122153927468654483,61569634500241,Juan365 Live Stream,"Cashback surprise!
Ay wow… may bumalik sa’kin… hindi lang feelings, kundi rewards din!

Ikaw Juankada ano unang reaction mo? Drop it below! ⬇️

#juanababes #Juan365livestream #Juan365PH #AllInJuanSaSaya #JuanKada #Juan365",,0,12/09/2025 02:00,,https://www.facebook.com/juan365livestream/posts/pfbid02TgrjYGJUkNFSATWGCZPQZ3qh2chny19CVVSrz9NcLVsUadiLhxDSS9DUt6auNxyDl,0,0,Photos,,,,,Lifetime,1249.0,605.0,67.0,49.0,15.0,3.0,76,62.0,14.0,,,,,,,,
1569793544467023,61569634500241,Juan365 Live Stream,Juanababe Jam,"Solo pero di lonely pag nandito kayo Juankada with @[61580395595183:2048:Juana Babe Jam]

 #ALLINSAYAJUAN #juanababes #Juan365livestream
#AllInJuanSaSaya  #JuanKada #Juan365PH #TheResponsibleJuan",9425,12/08/2025 23:29,uploaded,https://www.facebook.com/juan365livestream/videos/1569793544467023/,0,0,Live,,,,,Lifetime,13790.0,15367.0,8810.0,2304.0,4876.0,1630.0,2000,1984.0,,16.0,,854567.282,79.598,,0.0,0.0,
122153895338654483,61569634500241,Juan365 Live Stream,"Tell us your holiday plans,
tag your tropa and invite them to celebrate the season with us!

Juankada share your wishlist na🎄

#juanababes #Juan365livestream #Juan365PH  #AllInJuanSaSaya #JuanKada #Juan365",,0,12/08/2025 22:30,,https://www.facebook.com/juan365livestream/posts/pfbid02RKFge8yYqupwY1Nahmdi2XB7neboD6Z1NXfsKoTjCLbfhzsCuEd5wa814xAUwq8Jl,0,0,Photos,,,,,Lifetime,1726.0,639.0,117.0,55.0,20.0,42.0,48,43.0,5.0,,,,,,,,
122153889908654483,61569634500241,Juan365 Live Stream,"Here’s the tutorial you’ve been waiting for! 🔥
Step-by-step para mas madali sundan.

#Juanababes #Juan365livestream #Juan365 #TunogNgSayaJUAN365 #ALLINSAYAJUAN #JuankadaMoves #Juan365JingleChallenge",,0,12/08/2025 21:36,,https://www.facebook.com/juan365livestream/posts/pfbid0e6gWY38Z8qHsw2g6MdVFBtwdEUnUxhiQ4PSvrvAsB9XzHuP94ffDYUAocaQTjR3wl,0,1,Text,,,,,Lifetime,,428.0,66.0,52.0,14.0,0.0,35,35.0,,,,,,,,,
122153878742654483,61569634500241,Juan365 Live Stream,"Juankadaaa! 🔥
Kung gusto mo ng good vibes,
Hit FOLLOW and hang out with Juana Babe Abi 

Follow now — tara, sama ka sa saya!😄💙

#juanababes #Juan365livestream #Juan365PH  #AllInJuanSaSaya #JuanKada #Juan365",,0,12/08/2025 20:00,,https://www.facebook.com/juan365livestream/posts/pfbid0gQuFSMLfwkE5PJbe6oRWNu7oKPKskWsX5Sq5s99CcXEnvvDCZvM1QxJ7j8Zf57FQl,0,0,Photos,,,,,Lifetime,1735.0,731.0,139.0,90.0,28.0,21.0,97,85.0,12.0,,,,,,,,
122153866346654483,61569634500241,Juan365 Live Stream,"LIVE ALERT! 🚨
Juana Babe Jam will be LIVE at 3:30PM!
Share the stream, tag your tropa, and comment “VIEWER MODE ON!”
The more viewers, the bigger the surprises!

#juanababes #Juan365livestream #Juan365PH
#AllInJuanSaSaya #JuanKada #Juan365PH #TheResponsibleJuan",,0,12/08/2025 17:00,,https://www.facebook.com/juan365livestream/posts/pfbid02QqqoZGY7pkWtxksaLtn32Zz9w28xAK7yC7gA1LoUEXN9hcUTDncfTNCgFYJANyC9l,0,0,Photos,,,,,Lifetime,1505.0,651.0,131.0,84.0,35.0,12.0,65,59.0,6.0,,,,,,,,
122153839268654483,61569634500241,Juan365 Live Stream,"Celebrating all the winners today! 🎉
Keep the fun alive, play with heart, and stay responsible! 💖🎮

#juanababes #Juan365livestream #Juan365PH
#AllInJuanSaSaya #JuanKada #Juan365 #TheResponsibleJuan",,0,12/08/2025 07:00,,https://www.facebook.com/juan365livestream/posts/pfbid095yPiZpCfArk31t7Vs3PqxtSzC5BYoCRyXFhoPNui1JWRtcwXTHymA1ieYh8xn65l,0,0,Photos,,,,,Lifetime,2301.0,1119.0,128.0,77.0,39.0,12.0,109,78.0,31.0,,,,,,,,
122153822366654483,61569634500241,Juan365 Live Stream,"Good vibes? Check.
Daily aura? Check.
Ikaw? Wala pa?! 😱
FOLLOW Juana Babe Ashley  now!

#juanababes #Juan365livestream #Juan365PH #AllInJuanSaSaya #JuanKada #Juan365""",,0,12/08/2025 04:00,,https://www.facebook.com/juan365livestream/posts/pfbid0Z8uxHF3WiwxS6MemNS2Z8oZGoYPPrEtz5Qsoc5kBjzXiX7E2UbU3zL4VWMeYQbyil,0,0,Photos,,,,,Lifetime,2185.0,972.0,196.0,81.0,24.0,91.0,98,85.0,12.0,1.0,,,,,,,
122153818118654483,61569634500241,Juan365 Live Stream,"The stage is yours, JUANKADA! 💙🔥
Join the ALL IN SA SayaJUAN: The Dance Craze Challenge and show the world your best moves! 💃🕺
Follow the steps, upload your video, and tag @Juan365 —
baka ikaw na ang next Viral Juan!

 #juan365livestream #Juan365PH #TunogNgSayaJUAN365 #ALLINSAYAJUAN #JuankadaMoves",,0,12/08/2025 03:19,,https://www.facebook.com/juan365livestream/posts/pfbid02VnxNx5jcWG1fWHk8UivunddRtJ4MrzmpV8p7gKwB8f6uJLya3b8npK3pRTCjEca7l,0,1,Text,,,,,Lifetime,,441.0,52.0,41.0,11.0,0.0,15,15.0,,,,,,,,,
