"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,"Total clicks","Other Clicks","Matched Audience Targeting Consumption (Photo Click)","Link Clicks","Negative feedback from users: Hide all","Seconds viewed","Average Seconds viewed","Estimated earnings (USD)","Ad CPM (USD)","Ad impressions","Negative feedback from users: Hide"
122153556458654483,61569634500241,"Juan365 Live Stream","It’s a Juanababe kind of afternoon! 💛💫
Catch Zell & Ash LIVE at 3:30 PM —
siguradong masaya, maingay, at punong-puno ng energy!

🔔 Follow the page para lagi kang una sa ganap!

#juanababes #Juan365livestream #Juan365PH
#AllInJuanSaSaya #JuanKada #Juan365",,0,"12/05/2025 17:29",N/A,https://www.facebook.com/juan365livestream/posts/pfbid02P28BpukmxqZEcgYxrWq4svFLJTsyEez2yb4HQFoz8iodvM9Xd1vsvLW27FMU7ZQnl,0,0,Photos,,,,,Lifetime,770,375,83,53,15,15,32,28,4,,,,,,,,
122153500442654483,61569634500241,"Juan365 Live Stream","Mas masaya ’pag kasama ang Juankada — i-scan ang QR at sabay-sabay tayong sumubok ng swerte sa Juan365!

Don’t forget to tag your friends na gusto mo ring isali sa saya! 💙

#juanababes #Juan365livestream #Juan365PH
#AllInJuanSaSaya #JuanKada #Juan365",,0,"12/05/2025 04:02",N/A,https://www.facebook.com/juan365livestream/posts/pfbid02wDqR7hbM6pNzoHULFtp7GQRBoKfKrVPBQLfbLwpHYvWMaqpSD411rmk27Et5VfyBl,0,0,Photos,,,,,Lifetime,1519,728,85,54,14,17,81,59,22,,,,,,,,
122153495102654483,61569634500241,"Juan365 Live Stream","LIVE TODAY! GRAND DRAW ALERT! 🔥
Don’t blink — baka name mo na ang tawagin!

Ikaw na ba ang susunod na mag-uuwi ng pa-premyo?
Huwag bibitaw — stay tuned!

#juanababes #Juan365livestream #Juan365PH
#AllInJuanSaSaya #JuanKada #Juan365",,0,"12/05/2025 02:12",N/A,https://www.facebook.com/juan365livestream/posts/pfbid0PxWeVpsbtHxnx3s96zUyiU8gfQSX1A2PxZ8bFzq8Fm2rnYh4LUf27dJz2goGbq7Xl,0,1,Live,,,,,Lifetime,,760,84,47,37,0,250,250,,,,,,,,,
122153486036654483,61569634500241,"Juan365 Live Stream","Happy 19K, Juankada! 🎉 Maraming salamat sa walang sawang suporta. Konti na lang — 20K na tayo! Tuloy-tuloy lang ang saya! 🧡✨

Roll call! Comment “COUNT ME IN+member ID ” kung isa ka sa OG 19K fam!

#juanababes #Juan365livestream #Juan365PH
#AllInJuanSaSaya #JuanKada #Juan365",,0,"12/04/2025 23:38",N/A,https://www.facebook.com/juan365livestream/posts/pfbid02F7DwHJMnxEp65ay1zYQogdWV8Dacn1vGV6uPm7ptgJkfo2bcVjdGnWK7pQG99fLWl,0,0,Photos,,,,,Lifetime,2275,956,325,163,122,40,152,140,12,,,,,,,,
122153476118654483,61569634500241,"Juan365 Live Stream","JUANKADA, TONIGHT’S THE NIGHT! 🔥
The GRAND DRAW for Surpresa ni Juan is happening later — and YOU might be the lucky one! 🎁

Livestream starts at 6PM SHARP!
Don’t miss the thrill, the fun, and the big reveal! 🙌💙

#juanababes #Juan365livestream #Juan365PH #AllInJuanSaSaya #JuanKada #Juan365",,0,"12/04/2025 20:28",N/A,https://www.facebook.com/juan365livestream/posts/pfbid0GvwVJhqo3mZkm4CZN9vCFwMFdgAVVjBsqk4BShZFB5UbRDuUBc86pyiqYBwRCVKzl,0,0,Photos,,,,,Lifetime,6110,3225,399,205,124,70,283,249,34,,,,,,,,
122153420438654483,61569634500241,"Juan365 Live Stream","Comment your Christmas hiling sa freedom wall — Malay mo, ikaw ang mabunot at matupad ang wish mo! 🎁😉

Your wish + member ID.

#juanababes #Juan365livestream #Juan365PH
#AllInJuanSaSaya #JuanKada #Juan365",,0,"12/04/2025 02:00",N/A,https://www.facebook.com/juan365livestream/posts/pfbid021vyJR2ixE2wPB5BWgfBbNrYmj7q9wg11bADrQWzANAXBTf49sAC4ahi8qPJYUvYEl,0,0,Photos,,,,,Lifetime,3575,1543,502,206,220,76,204,184,20,,,,,,,,
122153416916654483,61569634500241,"Juan365 Live Stream","Follow Juana Babe Sena💙 and comment your Users ID na!

#juanababes #Juan365PH #AllInJuanSaSaya #JuanKada #Juan365 #TheResponsibleJuan",,0,"12/04/2025 01:21",N/A,https://www.facebook.com/juan365livestream/posts/pfbid02mGfGRqTYWLeQpbpcSPvLT77PZiYXqq4q9k7za3v38hNGxLkDqwhY4oKfxrSs3q4el,0,1,Photos,,,,,Lifetime,1572,682,167,97,65,5,116,96,20,,,,,,,,
122153413736654483,61569634500241,"Juan365 Live Stream","Switched to Christmas mode! 🎅🎁
Spread the holiday love and celebrate with us at Juan365 Livestream!

#juanababes #Juan365livestream #Juan365PH",,0,"12/04/2025 00:36",N/A,https://www.facebook.com/photo.php?fbid=122153413736654483&set=a.122097243494654483&type=3,0,0,Photos,,,,,Lifetime,2245,1034,196,130,52,14,95,91,4,,,,,,,,
122153409536654483,61569634500241,"Juan365 Live Stream","Hindi kumpleto ang linggo mo kapag… hindi ka naglalaro sa Juan365! 🎰 Pero relax, play responsibly lang ha! 😉

Kayo, Juankada? 🤩 Comment niyo naman  kung paano nakukompleto ni juan365 ang linggo nyo.

#juanababes #Juan365livestream #Juan365PH
#AllInJuanSaSaya #JuanKada #Juan365",,0,"12/03/2025 23:07",N/A,https://www.facebook.com/juan365livestream/posts/pfbid02m3mopgm37xUXfCPBtj9QWDg7fw4CJE6tvb8e9CqLfFQ7HgKpGPrCQ4EsvCZXfbuEl,0,0,Photos,,,,,Lifetime,1819,838,220,118,72,30,72,68,4,,,,,,,,
122153389724654483,61569634500241,"Juan365 Live Stream","Juankada, we dare you! 😎🎉
Join our group and invite your friends — mas masaya pag sama-sama!

Tara na, sali na!

#juanababes #Juan365livestream #Juan365PH
#AllInJuanSaSaya #JuanKada #Juan365",,0,"12/03/2025 18:04",N/A,https://www.facebook.com/juan365livestream/posts/pfbid02tDD5SsQpUgDWbkJSM1h1nf1qUrPcSXeDHMv5myVE4d4dhHMgkrzdzNhPU28AJ7mLl,0,0,Photos,,,,,Lifetime,3192,1290,262,165,54,43,97,72,24,1,,,,,,,
