"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,"Seconds viewed","Average Seconds viewed","Estimated earnings (USD)","Total clicks","Other Clicks","Link Clicks","Matched Audience Targeting Consumption (Photo Click)","Approximate content monetization earnings","Negative feedback from users: Hide all","Negative feedback from users: Hide"
122154362828762707,61572881214141,Juan365,"Flex mo na 'yan!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,"09/08/2025 00:00",N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid0BEgrqNF7yjiVQNATTdbYAA2dTUENRCAaSNztKARxajGhtxm3wKJYAjxJCPtxP23fl,0,0,Photos,,,,,Lifetime,57225,28559,1753,612,728,413,,,,1058,924,14,120,0.6,1,1
122158766120762707,61572881214141,Juan365,"Start October right! Download mo na ang Juan365 App today!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,"09/30/2025 21:30",N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid0QLgSLVoefXHXxHr3SHa9rsvQncwMQCyc8UAGYapmwpWFUFE3ZZttwjzuzdGoWZo5l,0,0,Photos,,,,,Lifetime,30860,18967,503,269,181,53,,,,477,372,34,71,0.51,4,1
122158758692762707,61572881214141,Juan365,"Kasama sa aming panalangin ang mga Cebuano at lahat ng naapektuhan ng lindol.

Stay Safe!

#Juan365  #Juan365PH",,0,"09/30/2025 20:37",N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid024MxfJyAhEJriSMTKRGQa128P5D46mGyJLv9mkwF6hDP8HVu78pzVTt5tzGVF4EP6l,0,0,Photos,,,,,Lifetime,27892,16214,476,344,57,75,,,,260,195,,65,0.35,4,1
122158732802762707,61572881214141,Juan365,"Let’s start October the smart way, Juankada! Stay safe, stay smart, stay responsible

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,"09/30/2025 17:00",N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid02fbwHt6ncbXgnydeRe3x1H1aZJRXiPTJwiNmGqd6pPidna7g1chsGeR2B1GTVM524l,0,0,Photos,,,,,Lifetime,26850,15333,468,274,148,46,,,,374,308,20,46,0.41,2,2
122158646264762707,61572881214141,Juan365,"Goodbye September!  Juankada, masaya ba or nakaka-stress? Share your biggest lesson from September 🙂😇

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,"09/30/2025 07:00",N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid02K7QLpU1M9eZfYcmNwJDbnAR9hf147HDbwx1gsvrnh2wFryTkeuKWmnQg7s3GqQfvl,0,0,Photos,,,,,Lifetime,35483,20070,629,367,216,46,,,,516,446,,70,0.47,4,1
122158611476762707,61572881214141,Juan365,"Congratulations sa 10 lucky Juankada! Enjoy your 100 FREE Juan365 Credits!
Follow Juan365 para updated ka sa mga susunod na ganap!

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada","Congratulations sa 10 lucky Juankada! Enjoy your 100 FREE Juan365 Credits!
Follow Juan365 para updated ka sa mga susunod na ganap!

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",13,"09/30/2025 04:01",N/A,https://www.facebook.com/Juan365officialpage/videos/1700398400644272/,1,0,Videos,,,,,Lifetime,34265,29314,777,515,217,45,84842.951,2.813,0,684,683,1,,0.04,,
122158601342762707,61572881214141,Juan365,"Sige nga, Juankada… itapat mo kung kaya mo! I-comment na sa baba kasama ang User ID mo!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada","Sige nga, Juankada… itapat mo kung kaya mo! I-comment na sa baba kasama ang User ID mo!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",10,"09/30/2025 03:00",N/A,https://www.facebook.com/Juan365officialpage/videos/1332523765320007/,1,0,Videos,,,,,Lifetime,191957,160483,3245,1887,1179,179,511118.843,3.118,0,2499,2495,4,,0.04,,
122158540814762707,61572881214141,Juan365,"Huwag na mahiya, i-comment mo na, Juankada!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,"09/30/2025 00:00",N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid02AhfsDMMs3vSnNL1EwpavKbQc6GCePC9WRi85QTbRdPRp2rzeef8mn7MSkoW97Nbul,0,0,Photos,,,,,Lifetime,38167,21790,464,234,211,19,,,,651,567,,84,0.52,2,1
122158520126762707,61572881214141,Juan365,"Juankada, na-download mo na ba?
iOS & Android ready na — don’t miss your bonus up to 500!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada","Juankada, na-download mo na ba?
iOS & Android ready na — don’t miss your bonus up to 500!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",11,"09/29/2025 21:30",N/A,https://www.facebook.com/Juan365officialpage/videos/782273584693511/,1,0,Videos,,,,,Lifetime,29494,26668,502,308,156,38,63420.956,2.474,0,437,435,2,,0.02,,
122158458872762707,61572881214141,Juan365,"It’s that time again… Extra saya, extra laro — pero always stay in control, Juankada.

Download the Juan365 app & join the fun, Juankada! Message us to guide you! 🧡

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,"09/29/2025 17:01",N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid02SakPneo4vDj8pSyCAJMqaR7kT2n167eUPxkHJRSrkNP1azZ2kJVswEJLsHJkx5kPl,0,0,Photos,,,,,Lifetime,41190,22420,419,249,129,41,,,,1446,658,641,147,0.59,3,2
