"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,"Negative feedback from users: Hide all","Negative feedback from users: Hide","Total clicks","Other Clicks","Matched Audience Targeting Consumption (Photo Click)","Link Clicks","Matched Audience Targeting Consumption (Video Click)","Approximate content monetization earnings","Seconds viewed","Average Seconds viewed","Estimated earnings (USD)"
122166452108762707,61572881214141,Juan365,"Spin, play, and enjoy our November Favorites — basta laro, Juan365 ang bahala! 💪🎰

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,"11/14/2025 16:00",N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid02tQ24bza72TioGErmv9PTFvo4o4mjFK3icso2P2XczgbRvSuwxbpFnd1YFQdM2nLJl,0,0,Photos,,,,,Lifetime,24703,13184,502,256,160,86,4,,1168,588,134,446,,0.25,,,
122166486374762707,61572881214141,Juan365,"Huwag mo na ipagpabukas ang saya, Juankada! Baka maunahan ka pa — download Juan365 App today!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,"11/14/2025 20:00",N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid0QAR3ngVwEfFfefMi7SwpyeMvTWYXWkYGkGbthk2z5BBWwyJ5KG38xuDVtuBqNZtBl,0,0,Photos,,,,,Lifetime,27545,15903,571,251,261,59,,2,1215,669,194,352,,0.25,,,
122166497570762707,61572881214141,Juan365,"Follow JuanSports ang bagong tambayan ng mga solid fans pagdating sa fresh, fast, at legit Sports Updates!

Like, Follow, and Share para lagi kang game-Ready.

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,"11/14/2025 21:53",N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid0jo3FUTj6aQJwaVyr8A1q4Zb5SbCgxjEmUSWcSXXQDxg6KzFXoUc5L18LrfZnesbxl,0,1,Photos,,,,,Lifetime,26571,15136,160,97,49,14,1,1,446,380,66,,,0,,,
122166514064762707,61572881214141,Juan365,,,0,"11/14/2025 23:46",N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid035c3Bvk2tMwWywxU5L8nvyjNHSmy1h28BgqwfkyxWoCW6GbNft5t5W25vwbWaLiuQl,0,1,Live,,,,,Lifetime,,4090,114,97,17,0,,,248,248,,,,0,,,
122166515396762707,61572881214141,Juan365,"Don’t just scroll… Share Juan’s Lucky Hat and manifest that win! 😎✨

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,"11/15/2025 00:00",N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid0yxBznKaWzKeZfB1oPaPtpw23x48uirWBkeBfKvyT5hT3cCx29GGbM53ZhPFWZBmpl,0,0,Photos,,,,,Lifetime,22243,13350,543,293,144,106,2,,469,387,82,,,0.21,,,
122166529622762707,61572881214141,Juan365,,,0,"11/15/2025 01:55",N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid02CRpLgS6JCxZcex1Pg38P6G7EDYP8krarauMazC6xnHCT7aVWzQDn1hsZVDj3FRyBl,0,1,Videos,,,,,Lifetime,,4112,128,105,23,0,,,29,29,,,,0,,,
122166542066762707,61572881214141,Juan365,"Ano ang swak sa’yo: iPhone 17 Pro, Bonus Credits, o Both? 🤔

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,"11/15/2025 04:00",N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid02wi7vPinmsTvqs4LsVokNaSM6qzvzJU29DGr1MJqr8FW4pxcEqN1sa3xyx3SwDKNHl,0,0,Photos,,,,,Lifetime,38206,21965,978,443,427,108,4,2,1022,818,146,58,,0.36,,,
122166629216762707,61572881214141,Juan365,"Kalma muna, Juankada. Relax mode on — kasi deserve natin ‘to 💆‍♀️☀️

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,"11/15/2025 16:00",N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid027mjsZzzYWReCa96MsuKpEbQU2BPXnQ4Y1RHCzrtd4h5kgdze4A5X5G3jLQwBVfMWl,0,0,Photos,,,,,Lifetime,17604,10329,426,241,135,50,,1,434,369,63,2,,0.15,,,
122166639416762707,61572881214141,Juan365,"Kilalanin natin si Nanay Conchita, ang isa nating beneficiary ng Juan365 Cares na nakipag-KwentuJuan sa atin. 

Tunghayan natin ang kwentong-laban niya at sama-sama nating subaybayan ang kanyang istorya. 🙏

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #NanayConchita",,0,"11/15/2025 18:00",N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid02ncrSn1HmrzAEjH44KBmc7PR57Uopyyu82GqAyu4wGQoRJc3cSCANxNc9XwQVkimml,0,1,Videos,,,,,Lifetime,,3595,226,161,65,0,,,77,77,,,,0,,,
122166653042762707,61572881214141,Juan365,"Ikaw, Juankada, bakit ka masaya sa Juan365?

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,"11/15/2025 20:00",N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid02SWbigBkjUzFUYCiFEX78MqiRfXvWBCYE5VwwX9KBM4we3xweAaEo4jetueTgsJNVl,0,0,Photos,,,,,Lifetime,18342,10804,519,259,199,61,2,1,528,446,81,1,,0.17,,,
122166670052762707,61572881214141,Juan365,"Don't forget to follow JuanSportsrts the new hangout for all solid fans when it comes to fresh and fast Sports Updates

Like, Follow, and Share para lagi kang game-Ready.

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,"11/15/2025 22:40",N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid02mjk54PiMDvQtzQtAKZekpKLH8HoBYgXs9bWQV4ma2nDY4WyHz3qBKRWGfeQ4m8kDl,0,1,Photos,,,,,Lifetime,17536,9952,91,75,9,7,1,,68,41,27,,,0,,,
122166676046762707,61572881214141,Juan365,,,0,"11/15/2025 23:36",N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid08FbB68zLWqwEV4A9cXugrWT7Cq8kQ1Vf8YZC8ViigixEXPSknFA33FQB7orvmmE6l,0,1,Live,,,,,Lifetime,,5157,174,140,34,0,,,386,386,,,,0,,,
122166678476762707,61572881214141,Juan365,"Congratulations sa 10 lucky Juankada! Enjoy your 100 FREE Juan365 Credits!

Follow Juan365 para updated ka sa mga susunod na ganap!

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada","Congratulations sa 10 lucky Juankada! Enjoy your 100 FREE Juan365 Credits!

Follow Juan365 para updated ka sa mga susunod na ganap!

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",10,"11/16/2025 00:00",N/A,https://www.facebook.com/reel/1409731001156430/,1,0,Videos,,,,,Lifetime,24529,21512,613,402,169,42,,,505,505,,,,0.01,67594.94,3.225,0
122166701582762707,61572881214141,Juan365,"Kung di mo pa natatry ang Juan365… this is your sign! Start your streak HERE! Download Juan365 APP now!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,"11/16/2025 03:00",N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid0jUamnDBBgdHWyEyxibtAkbRSkg6mceHAnMTQxLo4tZSwLRAEJUB4WBNT66xqu6Lbl,0,0,Photos,,,,,Lifetime,18029,10108,365,159,73,133,,1,307,187,66,54,,0.16,,,
122166725042762707,61572881214141,Juan365,"Gaano ka sinwerte this November? Rate mo nga from 1–10!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,"11/16/2025 06:00",N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid0BtFo5rEVVt4rpU4E4t7V3tCsX9c1tyMScuerUc9w2LYCkdigJQReXzSFUdGf2YGfl,0,0,Photos,,,,,Lifetime,28154,16870,514,256,218,40,3,,713,613,100,,,0.29,,,
122166728318762707,61572881214141,Juan365,"JUANKADA… READY NA BA KAYO? 🎉

May paparating na mas malaki, mas wild, at mas bonggang Surpresa ni Juan! 🧡🔥

At hindi lang prizes ang pasabog…
May bagong mukha na sasama sa ating kulitan! 👀✨

Sino kaya siya? At anong mga papremyo ang pwedeng mapanalunan?

Hulaan niyo na habang may oras pa! ⏳

Abangan ang bonggang bonggang sorpresa… Stay tuned, EveryJUAN! 📢

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #SurpresaNiJuanVer2","JUANKADA… READY NA BA KAYO? 🎉

May paparating na mas malaki, mas wild, at mas bonggang Surpresa ni Juan! 🧡🔥

At hindi lang prizes ang pasabog…
May bagong mukha na sasama sa ating kulitan! 👀✨

Sino kaya siya? At anong mga papremyo ang pwedeng mapanalunan?

Hulaan niyo na habang may oras pa! ⏳

Abangan ang bonggang bonggang sorpresa… Stay tuned, EveryJUAN! 📢

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #SurpresaNiJuanVer2",36,"11/16/2025 06:13",N/A,https://www.facebook.com/reel/661760783534068/,0,0,Videos,,,,,Lifetime,32872,29226,1083,639,277,167,,,384,383,,1,,0.03,119916.314,3.957,0
