"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,"Negative feedback from users: Hide all","Total clicks","Other Clicks","Matched Audience Targeting Consumption (Photo Click)","Link Clicks","Approximate content monetization earnings","Seconds viewed","Average Seconds viewed","Estimated earnings (USD)","Negative feedback from users: Hide"
122147511734762707,61572881214141,Juan365,"🇵🇭 LABAN PILIPINAS! 🏀

Mark your calendars, mga Kababayan! 💪

📅 FIBA Asia Cup 2025 Schedule
🔥 August 6 – 🇵🇭 Philippines vs. Chinese Taipei
🔥 August 7 – 🇵🇭 Philippines vs. New Zealand
🔥 August 9 – 🇵🇭 Philippines vs. Iraq

Suportahan natin ang Gilas Pilipinas sa kanilang laban para sa bayan!

#Juan365  #Juan365PH  #AllInJuanSaSaya  #JuanKada  #TheResponsibleJuan",,0,"08/04/2025 22:00",N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid042JbJwrXPsAVtmDLZXNmUWdY7zpNzTQDjeVcbfjU3YVe1DcHZAHx47U9eihVYWx1l,0,0,Photos,,,,,Lifetime,57940,30505,432,312,101,19,,307,207,100,,0,,,,
122153053772762707,61572881214141,Juan365,"Monday made better! Claim your cashback na, Juankada! 

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada","Monday made better! Claim your cashback na, Juankada! 

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",11,"08/31/2025 21:30",N/A,https://www.facebook.com/Juan365officialpage/videos/766573776272331/,1,0,Videos,,,,,Lifetime,22724,22510,931,497,390,44,,1305,1304,,1,0,70864.783,3.836,0,
122153032118762707,61572881214141,Juan365,"Juankada, bagong buwan na naman!  Say hello to September and hello to more fun! 🎉

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada","Juankada, bagong buwan na naman!  Say hello to September and hello to more fun! 🎉

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",12,"08/31/2025 18:00",N/A,https://www.facebook.com/Juan365officialpage/videos/1071268751830956/,1,0,Videos,,,,,Lifetime,30217,27868,912,545,305,62,,647,646,,1,0,72884.518,2.776,0,
122152964888762707,61572881214141,Juan365,"Marami ang marunong maglaro, pero si Juan, marunong magpigil.
Kalmado, kalkulado, kampante.
🎮 Play smart. Play safe.

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #TheResponsibleJuan",,0,"08/31/2025 08:01",N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid0qDM4cyVaGSy9LVHt1gESdBtvEbHoLpTUN3suPPk5wzADsALW5DDTRpGJqPXNEWWAl,0,0,Photos,,,,,Lifetime,147989,74916,1125,656,402,67,24,3650,3124,524,2,2.61,,,,13
122152937420762707,61572881214141,Juan365,"Parang agila sa himpapawid, hatid ni Fortuna Arara ang swerte na malayo ang lipad! Play it now!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #GforEveryJuan","Parang agila sa himpapawid, hatid ni Fortuna Arara ang swerte na malayo ang lipad! Play it now!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #GforEveryJuan",23,"08/31/2025 05:02",N/A,https://www.facebook.com/Juan365officialpage/videos/1327857819033064/,1,0,Videos,,,,,Lifetime,11942,13772,586,375,184,27,,399,398,,1,0.02,41132.715,4.087,0,
122152900082762707,61572881214141,Juan365,"Not one, but TWO! Bagong wallpapers para sa’yo, Juankada! Thank me later! 😉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #JamesReid",,0,"08/31/2025 01:00",N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid02rLYVFWXmEMp15ARNtWptmhzTaqTrNjEmc72P6t9SYn2FvWLdbosEaTcvXUoXS4gWl,0,0,Photos,,,,,Lifetime,83954,40899,810,481,282,47,11,1228,970,253,5,1.21,,,,3
122152869716762707,61572881214141,Juan365,"Be part of the Juan365 Official FB Community Group and connect with everyJuan! 10 Juankada ang may chance magkaroon ng total of 3,000 worth of free Juan365 credits! 
💙 Pag umabot ng 5K shares itong post, may additional 10 Juankada pa na mapipili!

Mechanics:
1️⃣ Join the Juan365 Official Group 
2️⃣ Follow both Juan365  and Juan365 Cares 
3️⃣ Comment your User ID and attach a screenshot showing you’ve completed all steps
4️⃣ Tag 3 friends and invite them to join the community

Makisaya, makikulitan, at sumama sa mga community events kasama ang Juankada!

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,"08/30/2025 21:30",N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid0F1Ksmsapjcaij6qT7qRTBGuYFKw3uTAA9La7ciAQZoeC2ZCtjqgNLX38sHK7483jl,0,0,Photos,,,,,Lifetime,116464,63288,3055,1163,1354,538,3,4217,3633,578,6,2.04,,,,4
122152830092762707,61572881214141,Juan365,"First time sa Juan365? May 36.5 bonus agad!

Just follow these steps:
✅ Bind your number
⬇️ Download the Juan365 app
👍 Like our FB page
🆔 Complete your KYC

Bonus na ‘yan, walang hassle!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada","First time sa Juan365? May 36.5 bonus agad!

Just follow these steps:
✅ Bind your number
⬇️ Download the Juan365 app
👍 Like our FB page
🆔 Complete your KYC

Bonus na ‘yan, walang hassle!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",12,"08/30/2025 18:00",N/A,https://www.facebook.com/Juan365officialpage/videos/2861485304049489/,1,0,Videos,,,,,Lifetime,18285,16331,651,399,208,44,,505,495,,10,0,59703.62,4.116,0,
122152770596762707,61572881214141,Juan365,"STOP! Don’t Get Scammed! 🚫
Makipag-usap lang sa Juan365 Live Chat o Juan365 Official Page.

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #JuanAlert","STOP! Don’t Get Scammed! 🚫
Makipag-usap lang sa Juan365 Live Chat o Juan365 Official Page.

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #JuanAlert",10,"08/30/2025 08:01",N/A,https://www.facebook.com/Juan365officialpage/videos/1121587333400740/,1,0,Videos,,,,,Lifetime,44901,38985,991,632,305,54,,604,602,,2,0,122018.817,3.284,0,
122152735652762707,61572881214141,Juan365,"Narinig n’yo na kay James Reid! 
Follow Juan365 para lagi kang updated sa mga promos, events, at pa-surprises! 💙

Play Responsibly, Juankada!

Huwag pahuli—join the fun with Juan! Message us to guide you! 

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada","Narinig n’yo na kay @[100079635633924:2048:James Reid]! 
Follow @[61572881214141:2048:Juan365] para lagi kang updated sa mga promos, events, at pa-surprises! 💙

Play Responsibly, Juankada!

Huwag pahuli—join the fun with Juan! Message us to guide you! 

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",24,"08/30/2025 02:53",uploaded,https://www.facebook.com/reel/1481551416525351/,0,0,Reels,,,,,Lifetime,26309,28704,1205,872,269,64,,568,567,,1,0.11,108207.536,4.692,0,
