"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,"Negative feedback from users: Hide all","Negative feedback from users: Hide","Total clicks","Other Clicks","Matched Audience Targeting Consumption (Photo Click)","Link Clicks","Approximate content monetization earnings","Seconds viewed","Average Seconds viewed","Estimated earnings (USD)","Matched Audience Targeting Consumption (Video Click)"
122169933152762707,61572881214141,Juan365,"A huge congratulations to all the winners of Surpresa ni Juan Version 2! We’re so happy na nag-enjoy kayo — every prize is truly well-deserved!

Maraming salamat sa solid na suporta at sa walang sawa n’yong pakikisaya! 

At syempre… hindi dito nagtatapos ang saya.
Ready na ba kayo for what’s coming next? 👀

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #SurpresaniJuanVer2",,0,"12/06/2025 00:39",N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid0Zd63sMZs3RcLAYUWK31w4ZzFdjgQV1TgH33ruw5v8cyBsYDrHPWGJS1qTjad6nZol,0,0,Photos,,,,,Lifetime,0,1695,202,137,37,28,,1,389,207,182,,0.01,,,,
122169928676762707,61572881214141,Juan365,"Sama-samang saya ngayong Pasko! 🎄❤️
Merry Christmas, EveryJUAN!
Download the app and celebrate the season with us — all-in Juan sa saya!

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada","Sama-samang saya ngayong Pasko! 🎄❤️
Merry Christmas, EveryJUAN!
Download the app and celebrate the season with us — all-in Juan sa saya!

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",14,"12/06/2025 00:01",mixed,https://www.facebook.com/reel/1233703175241661/,1,0,Videos,,,,,Lifetime,2917,2037,98,59,22,17,,,53,53,,,0,6244.808,3.673,0,
122169925382762707,61572881214141,Juan365,"Live is ON! together with Juana Babe Ashley and Juana Babe Zell. With special live streamer guess? 🤔

ABANGAN! Like, Share, And Follow our pages juankada! ENJOY! 🥳

#Juan365PH #Juan365 #JuanKada #JuanKadaFan #JuanSports #AllInJuanSaSaya",,0,"12/05/2025 23:37",N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid02qftG3UGr7A7ziMiCyFZD5BL1so3ZoEaq3sYE2ihYFPsen3QdxMmgC6ni7uhPHGDSl,0,1,Live,,,,,Lifetime,,8369,235,189,46,0,,,1241,1241,,,0,,,,
122169902180762707,61572881214141,Juan365,"Sign up lang may bonus kana agad! Heart react kung 'G' ka na!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,"12/05/2025 20:00",N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid0p9RdSXqZZRnqVa8Z48G2Y9SsXmg7tLpVwkBCdjDk9KBW3B15rTJwtdCtRZ1L8JMbl,0,0,Photos,,,,,Lifetime,12633,7522,442,249,100,93,1,,407,331,66,10,0.11,,,,
122169886124762707,61572881214141,Juan365,"Fun meets all-in excitement — ang go-to spot mo for endless saya. Comment your favorite game, Juankada!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,"12/05/2025 17:00",N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid0KwMBeN9seqei87TQPSjEEMWJ7yXA24ArrhgDgX1Pr4vWCaY2kXxqpsLSzYTJbZH6l,0,0,Photos,,,,,Lifetime,30724,19159,686,323,239,124,1,2,679,527,109,43,0.29,,,,
729756576293113,61572881214141,Juan365,"SURPRESA NI JUAN V2","Level up na ang sorpresa ni Juan, Handa na ba kayo Juankada? 😌🎉

Ikaw na ba ang maswerteng mananalo ng IPHONE 17 PROMAX?

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #surpresanijuanver2",6269,"12/05/2025 02:03",uploaded,https://www.facebook.com/Juan365officialpage/videos/729756576293113/,0,0,Live,,,,,Lifetime,52271,44154,35558,10468,20925,4165,,,3899,3657,,242,0.02,2165852.959,52.032,,
122169768872762707,61572881214141,Juan365,"🎉 We’re back, Juankada! Sorry for the inconvenience earlier. Juan365 is now up and running—ready na ulit kayo sa gaming fun!

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,"12/05/2025 01:35",N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid02c4Wm8b3qrHStz7SWY4kqsV58NJydDTrwGofgyyGL9hfa5UbiPD1UjHAAW2dvvVjEl,0,0,Photos,,,,,Lifetime,43378,25480,682,346,258,78,3,3,1009,818,176,15,0.37,,,,
122169764966762707,61572881214141,Juan365,"⚠️ Juankada alert! Juan365 is currently undergoing system maintenance para mas maging smooth at better ang gaming experience niyo.

Wag mag-alala, ipapaalam namin agad pag back na online! Stay tuned at ready na sa luck niyo.

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,"12/05/2025 01:04",N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid0xp7s4BF51HUu3Put264SjuDMbmcLf5YRggFq1QykkaUx3cQVfMjyac2oQpbkzaqFl,0,0,Photos,,,,,Lifetime,45742,25051,635,355,230,50,3,2,1124,970,114,40,0.12,,,,
122169756344762707,61572881214141,Juan365,"Big cheers for Dennis Trillo! 🥂
Crowned Asia’s Best Actor in a Leading Role at the Asian Academy Creative Awards 2025 for Green Bones! Juan365 fam is so proud of you, Juankada Dennis! 🏆

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #DennisTrillo #AsianAcademyCreativeAwards2025 #GreenBones",,0,"12/05/2025 00:00",N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid02RKuZmBJhDWFFthK3qTx2Lc7AV2JKAYeGwTogDa5JK5EKPu848CBMnLbcXj1tkv1tl,0,0,Photos,,,,,Lifetime,33025,19926,657,353,237,67,2,2,543,461,59,23,0.32,,,,
122169745010762707,61572881214141,Juan365,"Today is the day! 🎉
Mamaya na ang Surpresa ni Juan! Comment 'Ready na ako' kung excited ka na! 🧡✨

Huwag pahuli—join the fun with Juan!

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #SurpresaniJuanVer2",,0,"12/04/2025 22:00",N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid0wdeMULfUkuEhqmUvmgFyEYGg11Fr82WhXrv6abexE8gTqJcxVHhZzziYKGGDAjEvl,0,0,Photos,,,,,Lifetime,43600,24852,1174,633,425,116,5,3,1523,1291,177,55,0.39,,,,
122169730604762707,61572881214141,Juan365,"Shoutout sa ultimate Juankada this week! 🙌 I-flex mo na ang Top Fan badge mo at may pasurpresa si Juan para sayo!

Comment #JuankadaFan + User ID para makasali

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,"12/04/2025 20:00",N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid02ipFVFZHRutmkPhJod5grDd2u4mVkUtHpLTjsB2q8mngPiEhHKL9FaQUooB3zui6Pl,0,0,Photos,,,,,Lifetime,47009,25617,1665,804,712,149,4,1,1669,1471,175,23,0.46,,,,
122169709076762707,61572881214141,Juan365,"I-share mo na 'to, ’wag kang mahiya at baka ikaw na ang susunod na swertehin!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,"12/04/2025 17:00",N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid0nFn5fpSjdxjgFn91Yp6jSWf1NLV4RaCLDyMC55UqyCzQ9WLZZivjasLypga8mf9gl,0,0,Photos,,,,,Lifetime,34730,20231,1297,484,313,500,4,,824,717,107,,0.33,,,,
122169632084762707,61572881214141,Juan365,"Excited ka na ba sa surpresa? BUKAS NA ’YAN! 🎉🔥

May chance pa para humabol, kaya huwag na magpahuli—mas masaya kung kasama ka namin LIVE! 🎥✨

Kita-kits bukas, Juankada! 🙌🧡

#Juan365PH #AllInJuanSaSaya #JuanKada #SurpresaniJuanVer2","Excited ka na ba sa surpresa? BUKAS NA ’YAN! 🎉🔥

May chance pa para humabol, kaya huwag na magpahuli—mas masaya kung kasama ka namin LIVE! 🎥✨

Kita-kits bukas, Juankada! 🙌🧡

#Juan365PH #AllInJuanSaSaya #JuanKada #SurpresaniJuanVer2",11,"12/04/2025 04:00",auto,https://www.facebook.com/reel/1310106240871277/,1,0,Videos,,,,,Lifetime,77563,69954,1448,874,363,211,,,721,718,,3,0.12,190137.546,2.555,0,
122169620414762707,61572881214141,Juan365,"Throwback Thursday? Nope — it’s a Lucky Juankada Day! 

Congrats sa 5 LUCKY WINNERS ngayong araw! 
React ❤️ kung gusto mo ikaw na ang next JuanKada!

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada","Throwback Thursday? Nope — it’s a Lucky Juankada Day! 

Congrats sa 5 LUCKY WINNERS ngayong araw! 
React ❤️ kung gusto mo ikaw na ang next JuanKada!

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",11,"12/04/2025 02:00",auto,https://www.facebook.com/reel/1832624477400350/,1,0,Videos,,,,,Lifetime,14677,10146,930,566,280,84,,,518,508,,10,0.04,58291.685,4.966,0,
122169606656762707,61572881214141,Juan365,"Sa dami ng choices, dito ka na sa sure! No doubts, no worries,  puro fun lang! Comment ‘JUANKADA!’ kung G ka!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,"12/04/2025 00:00",N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid02QAYmUutynP3nz3U8SkhGCuMpC46ZdR1q3B5VqmFPCqFpKWHPTYQWD1bzkdwNdiVl,0,0,Photos,,,,,Lifetime,41273,23240,734,382,285,67,1,1,851,728,123,,0.11,,,,
122169575834762707,61572881214141,Juan365,"Fill your heart with joy and cheer! ✨
Juankada, share your holiday cheer, comment your Christmas emoji of the day!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,"12/03/2025 20:00",N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid0kwDqkz1pgtAbKBnpiJgr8yqhQUYMwT9d7wwpG9XkGtttwKFmm73zv3rikcxYEvEcl,0,0,Photos,,,,,Lifetime,38814,22541,1036,527,328,181,1,1,742,604,115,23,0.38,,,,
122169552842762707,61572881214141,Juan365,"I-comment mo na ang wish mo and tag a Juankada! Baka wish granted vibes na ‘to!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,"12/03/2025 17:00",N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid0228YizWj4db5DwJ1mtdT6SJf2sF5FjxD7CDpE2sam9AdueRYpWYAJXVNerKD2YoGil,0,0,Photos,,,,,Lifetime,82819,48585,2186,862,940,384,2,1,2329,1999,306,24,0.79,,,,
122169476426762707,61572881214141,Juan365,"Hindi lang mga bagay ang pwedeng maipon — minsan mahalaga rin ang growth at learnings.
Ikaw, anong naipon mo ngayong 2025?
👉 Drop your answer in the comments!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,"12/03/2025 04:00",N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid02zTWQMYEKteUgPDTFeyEZch5PSbPrFtm9XFd8CH4bFq8CJbCS1fqT23yddJQ6dUal,0,0,Photos,,,,,Lifetime,48738,28126,1123,455,379,289,3,,1110,839,144,127,0.49,,,,
122169463274762707,61572881214141,Juan365,"Huwag pahuli sa saya, JuanKada! 🔥❤️

React HEART tapos SHARE mo na ‘to — sama ka na sa JuanSports bago ka ma-late!

#Juan365PH #AllInJuanSaSaya #JuanKada #JuanSports",,0,"12/03/2025 01:52",N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid06bp9EsNC1nnVVmSA2qk8hWcRou6d7XbeJzr6x5ayZtRbNxPytHX3ikZTvX4PprESl,0,1,Videos,,,,,Lifetime,,9130,254,209,45,0,,,113,113,,,0,,,,
122169451364762707,61572881214141,Juan365,"LIVE NA ULIT TAYO JUANKADA! Ready na ba kayo sa solid na kulitan at walang humpay na action? Tara, sama na! 🥳

#Juan365PH #Juan365 #JuanKada #AllInJuanSaSaya #Juan365livestream",,0,"12/03/2025 00:29",N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid0BvYtRp14We6eAeK1b4pdui1iy8SNmmN8ohRGM3T7xQacszUpCUBiSQnQcjuAhQzFl,0,1,Live,,,,,Lifetime,,10081,358,283,75,0,,,983,983,,,0,,,,
